IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
13.54.173.154,2052,80,false,SYD,Oceania,Sydney,93,0.00
13.54.173.154,2053,80,false,SYD,Oceania,Sydney,93,0.00
54.79.190.249,2095,80,false,SYD,Oceania,Sydney,93,0.00
52.64.153.64,2083,80,false,SYD,Oceania,Sydney,93,0.00
13.55.237.163,2083,80,false,SYD,Oceania,Sydney,93,0.00
13.237.94.188,2086,80,false,SYD,Oceania,Sydney,93,0.00
13.238.235.196,2096,80,false,MEL,Oceania,Melbourne,93,0.00
13.237.94.188,2087,80,false,SYD,Oceania,Sydney,93,0.00
13.55.237.163,2087,80,false,SYD,Oceania,Sydney,93,0.00
54.79.190.249,2053,80,false,SYD,Oceania,Sydney,93,0.00
13.55.59.224,2087,80,false,SYD,Oceania,Sydney,93,0.00
54.79.10.40,2096,80,false,SYD,Oceania,Sydney,93,0.00
13.237.94.188,2052,80,false,SYD,Oceania,Sydney,93,0.00
13.238.235.196,2052,80,false,SYD,Oceania,Sydney,93,0.00
13.237.94.188,2053,80,false,SYD,Oceania,Sydney,93,0.00
54.79.10.40,2095,80,false,SYD,Oceania,Sydney,93,0.00
54.79.129.232,2053,80,false,SYD,Oceania,Sydney,93,0.00
13.55.237.163,2082,80,false,SYD,Oceania,Sydney,93,0.00
54.79.129.232,2096,80,false,SYD,Oceania,Sydney,93,0.00
13.238.235.196,2095,80,false,SYD,Oceania,Sydney,93,0.00
54.79.190.249,2086,80,false,SYD,Oceania,Sydney,93,0.00
54.79.10.40,2087,80,false,SYD,Oceania,Sydney,93,0.00
54.79.208.59,2052,80,false,SYD,Oceania,Sydney,93,0.00
52.64.153.64,2052,80,false,SYD,Oceania,Sydney,93,0.00
54.79.197.209,2087,80,false,SYD,Oceania,Sydney,93,0.00
13.55.237.163,2052,80,false,SYD,Oceania,Sydney,93,0.00
13.237.94.188,2083,80,false,SYD,Oceania,Sydney,93,0.00
52.64.153.64,2053,80,false,SYD,Oceania,Sydney,93,0.00
13.55.237.163,2096,80,false,SYD,Oceania,Sydney,93,0.00
54.79.197.209,2052,80,false,SYD,Oceania,Sydney,93,0.00
13.54.173.154,2082,80,false,SYD,Oceania,Sydney,93,0.00
13.55.59.224,2083,80,false,SYD,Oceania,Sydney,93,0.00
13.55.238.1,2083,80,false,SYD,Oceania,Sydney,93,0.00
54.79.197.209,2095,80,false,SYD,Oceania,Sydney,93,0.00
54.79.197.209,2083,80,false,SYD,Oceania,Sydney,93,0.00
13.55.238.1,2087,80,false,SYD,Oceania,Sydney,93,0.00
13.55.238.1,2053,80,false,SYD,Oceania,Sydney,93,0.00
13.238.235.196,2086,80,false,SYD,Oceania,Sydney,93,0.00
13.54.173.154,2086,80,false,SYD,Oceania,Sydney,93,0.00
54.79.197.209,2096,80,false,SYD,Oceania,Sydney,93,0.00
54.79.197.209,2086,80,false,SYD,Oceania,Sydney,93,0.00
13.55.59.224,2082,80,false,SYD,Oceania,Sydney,93,0.00
54.79.197.209,2053,80,false,SYD,Oceania,Sydney,93,0.00
13.55.59.224,2095,80,false,SYD,Oceania,Sydney,93,0.00
13.55.238.1,2052,80,false,SYD,Oceania,Sydney,93,0.00
13.55.238.1,2096,80,false,SYD,Oceania,Sydney,93,0.00
13.237.223.44,2052,80,false,MEL,Oceania,Melbourne,93,0.00
13.238.235.196,2053,80,false,MEL,Oceania,Melbourne,93,0.00
13.55.238.1,2095,80,false,SYD,Oceania,Sydney,94,0.00
13.238.235.196,2087,80,false,SYD,Oceania,Sydney,94,0.00
13.55.59.224,2096,80,false,SYD,Oceania,Sydney,94,0.00
13.54.81.122,2052,80,false,SYD,Oceania,Sydney,94,0.00
54.79.197.209,2082,80,false,SYD,Oceania,Sydney,94,0.00
13.54.173.154,2096,80,false,SYD,Oceania,Sydney,94,0.00
52.62.216.87,2096,80,false,SYD,Oceania,Sydney,94,0.00
13.236.104.165,2086,80,false,SYD,Oceania,Sydney,94,0.00
13.55.59.224,2052,80,false,SYD,Oceania,Sydney,95,0.00
13.55.59.224,2053,80,false,SYD,Oceania,Sydney,96,0.00
13.236.104.165,2083,80,false,MEL,Oceania,Melbourne,96,0.00
13.236.104.165,2082,80,false,SYD,Oceania,Sydney,96,0.00
13.236.104.165,2095,80,false,MEL,Oceania,Melbourne,100,0.00
54.79.176.136,2095,80,false,SYD,Oceania,Sydney,100,0.00
13.236.104.165,2052,80,false,MEL,Oceania,Melbourne,103,0.00
13.236.104.165,2087,80,false,SYD,Oceania,Sydney,108,0.00
13.236.104.165,2096,80,false,MEL,Oceania,Melbourne,110,0.00
13.236.104.165,2053,80,false,SYD,Oceania,Sydney,118,0.00
13.57.57.162,80,443,true,SJC,North America,San Jose,183,0.00
13.56.207.185,80,443,true,SJC,North America,San Jose,189,0.00
13.56.59.26,80,443,true,SJC,North America,San Jose,191,0.00
13.57.57.162,443,443,true,SJC,North America,San Jose,191,0.00
13.56.210.252,80,443,true,SJC,North America,San Jose,191,0.00
13.57.241.143,80,443,true,SJC,North America,San Jose,198,0.00
54.68.88.54,80,8080,false,SEA,North America,Seattle,201,0.00
54.187.109.16,443,443,true,SEA,North America,Seattle,210,0.00
35.165.47.77,2082,80,false,ORD,North America,Chicago,213,0.00
54.213.92.168,80,8080,false,SEA,North America,Seattle,216,0.00
54.213.94.219,80,8080,false,SEA,North America,Seattle,216,0.00
13.56.179.210,80,443,true,SJC,North America,San Jose,218,0.00
67.226.222.226,80,443,true,ORD,North America,Chicago,224,0.00
67.226.222.76,80,443,true,ORD,North America,Chicago,224,0.00
67.226.222.244,80,443,true,ORD,North America,Chicago,235,0.00
67.226.222.91,80,443,true,ORD,North America,Chicago,241,0.00
